toxic_sentence	neutral_sentence	lang
weil es Ihre Meinung ist - 😂😂wie Blöd muss man sein 🙈🙈🙈	Weil es deine Meinung ist, wie falsch musst du liegen?	de
Ich will nicht das es Kriminellen Flüchtlingen Deserteuren und Feiglingen hier besser geht..erst recht nicht dem Afrika-Pack. Und weder bin ich Rassist noch ein Nazi noch xenophob....!	Ich will nicht, dass Kriminelle, Flüchtlinge und Menschen hier besser dran sind, besonders nicht	de
Wenn die Hälfte der Moslime den Handschlag verweigert, hilft nur. ein Tritt in den Arsch, der sie zurückschickt nach Afrika.	Wenn die Hälfte der Muslime sich weigert, ihnen die Hand zu schütteln, hilft es nur, sie in den Arsch zu treten.	de
Ursprünglich (gestern) ging es um FEMA-Camps - wir sind keinen Schritt weiter. Da platzt einem der Arsch - sorry.	Ursprünglich ging es um FEMA-Lager, und wir sind nicht mal einen Schritt voraus.	de
Endlich, Trump streicht dem CIA die Gelder, die seit 1945 für weltweite Kriege sorgten - logisch, dass Merkel und Flintenuschi jaulen 💩	Schließlich schneidet Trump die CIA-Finanzierung für Weltkriege seit 1945 ab - nein	de
Die Pisser wollten schon immer unsere Länderein um jeden Preis und jetzt haben sie die Bruder .....	Sie wollten unser Mädchen um jeden Preis und jetzt haben sie den Bruder.	de
.@USER_0 Ich warte auf dem Moment das diese dummdeutschen das begreifen und diese Volksverräterin zur Verantwortung zieht!!!	Ich warte auf den Moment, in dem die Deutschen das verstehen werden.	de
Schreibt besser mal über die Asylanten Verbrechen ,dass wird bei euch totgeschwiegen!	Schreiben Sie über die Asylverbrechen, dann wird es totschweigen!	de
Also diesem Schweinepriester Lauterbach glaube ich keinen Cent....aber seiner Exfrau darf man getrost zuhören...seine Vita entspricht dem SPD-Standard...😃😃😃	Also glaube ich diesem Priester Lauterbach keinen Cent, aber seine Ex-	de
Wen Interessiert schon was der kleine Wicht ruft. Jerusalem ist die Hauptstadt Israels. Basta.	Wen interessiert es, wie der kleine Arschloch sagt, dass Jerusalem die Hauptstadt Israels ist?	de
wir brauchen das scheiß #Europa nicht ich bin #Deutscher und kein Europäer #btw2017	Wir brauchen dieses Europa, nicht ich bin Deutscher und nicht Europäer.	de
Na klar kriegt der Lob von allen Seiten...ist ja ein Merkel-Blindenhund.. Wollt ihr tatsächliche Opfer sehen dann geht auf Friedhöfe oder sprecht mit den Angehörigen..!	Natürlich, das Lob von allen Seiten... ist ein Merkel Führhund... Wenn Sie	de
Auch ein Merkel Vasall der das sagen muss was diese Volksverräterin vorgibt!!! Lügenpresse!!!	Auch eine Merkel, die sagen muss, was die Leute vorgeben.	de
Dass wir diese ganzen IS-Kämpfer haben ist ausschließlich die. Schuld der Amerikaner. Scheinheiliges Volk.	Dass wir all diese ISIS-Kämpfer haben, ist ganz und gar die Schuld der Amerikaner.	de
"n-tv: ""Murksel ein Profi im Umgang mit schwierigen Partnern"" 😂😂😂 Ein Profi, wie eine Mecklenburger Kuh die Rückenschwimmen lernt, meine ich😜"	"n-tv: ""Murmursel ist ein Profi im Umgang mit schwierigen Partnern"""	de
Gibt es überhaupt so viele Dreckslöcher in Deutschland, wenn die LINKEN sich bald verdrücken müßen ??	Es gibt so viele Menschen in Deutschland, wenn die Linke bald zu den	de
scheiß asiaten kommen nach europa klauen uns das gefühl reich zu sein	Asiatische Dinge kommen nach Europa und stehlen uns unser Gefühl des Reichtums.	de
von einem Turkmenen sexuell missbraucht, x-mal minderjährige Mädchen von #rapefugees sexuell belästigt. #Kiel 2016! #islam #sophienhof [2/2]	von einem Turkmenen sexuell missbraucht, Minderjährige von #rapefuge sexuell belästigt	de
Klar doch alles rechte böse Nazis. Was wissen die heute von damals? Fragt eure Omas, Mütter. Nicht was Hetzmedien verbreiten.	Natürlich, was wissen die rechten Nazis über diese Zeit?	de
Es gibt auch Rentner die darauf angewiesen sind ,die den Cent 2-3mal umdrehen müssen bevor er ausgegeben wird ,anders ist es mit den Asylanten,die haben freie Fahrt!	Es gibt auch Rentner, die davon abhängig sind, die den Penny 2 drehen müssen	de
Träume und Wünsche...leider. Jamaika-Scheisse wird durchgesetzt....dafür sorgen schon die Lauch-Scheisser. Die bleiben klebend sitzend...der Troll Joschka hat’s Ihnen vorgemacht, die Warze Roth hat’s perfektioniert ..!	Träume und Wünsche, leider wird das jamaikanische Gesetz durchgesetzt.	de
Die wievielte Generation Türken scheint hier auf der Straße zu sein ca.die 4te das Wespen Nest	Wie viele Generationen Türken leben hier?	de
Helmut Schmidt hatte allein mehr Verstand, als die gesamte Berliner Muschpoke zusammen 😜	Helmut Schmidt allein hatte mehr Hirn als alle Berliner Muschspoke zusammen.	de
Das sind die Taugenichtse...die ewig Studierenden....da geht nichts brauchbares hervor.	Das sind die Bösen. Die Studenten für immer. Sie bekommen nichts Nützliches heraus.	de
So sollten sich alle Politiker äußern und nicht dieses verlogene Emotionsgeschwafel, was die Lügenbrut gerne abläßt !	Die Kommission hat sich in der Vergangenheit mit der Frage der Verteidigung der Menschenrechte befaßt.	de
Wie dämlich sind Sie eigentlich? Sie sollten ihre Allgemeinbildung vervollständigen und Objektivität walten lassen. 🤢	Du solltest deine allgemeine Ausbildung abschließen und die Objektivität herrschen lassen.	de
In solchen Situationen zeigt sich echtes Herz (Empathie)  und Charakter (Hilfe, die nicht in der Zeitung steht) im Gegensatz zu heuchlerischem Gutmenschentum	In solchen Situationen sind aufrichtiges Herz (Empathie) und Charakter (Hilfe nicht in der	de
"Ich wünsche mir für sie, dass eine Großfamilie aus ""Syrien""  einzieht. Leider wäre solch eine kleine,  schlecht ausgestattete Wohnung für die neuen Herrenmenschen keine artgerechte Haltung...."	"Ich wünsche mir für sie, dass eine große Familie aus ""Syrien"" einzieht, aber"	de
Mensch, Kauder müsste sich doch bepissen vor lachen, wenn er über diese Lüge nachdenkt 😂😂😂	Kauder würde über diese Lüge lachen.	de
Niki #Lauda ist in meinen Augen so blöd dass er stinkt er meint er braucht sich an keine Regeln zu halten #Mercedes #Formel1	Niki #Lauda ist in meinen Augen so schlecht, dass er denkt, er weiß es nicht.	de
"Für mich ist der morgige Tag ein Tag der ""Größten Deutschen Schweinerei"" seit 1945, eine riesen Mogelpackung bekloppter Politiker🤢"	"Für mich ist morgen ein Tag der ""größten deutschen Schweinehütte"" seit"	de
Deutschland das Land der drei Geschlechter der Duckmäuser und ja Sager der Toleranz Fanatiker. Das Land der Verblödung.	Deutschland, das Land der drei Geschlechter der Enten-Mäuse und ja, das Land der	de
Ich bemerke in unseren Medien eine Strategie, die FDP gleich der AfD, zum Abschuss freizugeben.	Ich habe in unseren Medien eine Strategie zur Freilassung der FDP sowie der	de
Die linksgrün-versiffte Mischpoke in Berlin wird sich noch wundern, wenn die #Rapefugees im Sommer so richtig abgehen. Deustche Mädels,..1/2	Die linksgerichtete Mischbevölkerung in Berlin wird überrascht sein, wenn die #Vergewaltigung	de
Bei #Halbneger meldet sich Till #Schweiger grosskotzig zu Wort, bei Mord an #Mila Valentin hört man nichts von diesen Heuchler.	Till Schweiger spricht laut in #HalfNegro, aber im Fall	de
Der IS eroberte in 100ten Städten auch die Ämter mit Mio Pässen u. verblödete Beamte wundern sich über Zig Identitäten von Krimigranten 😂😂😂	ISIS hat über 100 Städte erobert, einschließlich Büros mit Millionen von Pässen und Beamte fragen sich	de
@USER_0: @USER_1 @USER_2 Tauber, ich würde sagen, die tatsächlichen Arschlöcher sitzen in der Regierung. SO IST ES!	Die Kommission hat die Kommission aufgefordert, die von ihr vorgeschlagenen Maßnahmen zu prüfen.	de
WANN ENTSORGT DEUTSCHLAND ENDLICH SEINE VOLKSMÖRDER ??A.Merkel,H.Maas,K.Göring E.,Paket Grüne,D. Nuhr,C. Ehring,M. Schulz als bevorz.Beisp.!	Die Europäische Union ist ein globaler Akteur im Bereich der allgemeinen und beruflichen Bildung und ihre	de
Total bekloppt. Weibliche Opfer sind die Einzigen die ernst genommen werden.	Nur weibliche Opfer werden ernst genommen.	de
Schon der Vater,der als protestantischer Pfaffe freiwillig in die DDR ging,um den Bolschewismus zu huldigen.Die Tochter ist um Nichts besser	Der Vater, der als protestantischer Priester freiwillig in die DDR ging, um	de
Merkel schaffte es, sich bis an die Seite der FDJ-Führung der DDR zu schleimen, um diese später zu verraten. Heute macht sie es auch so 😜	Merkel hat es geschafft, sich auf die Seite der FDJ-Führung der DDR zu stellen.	de
Jeder der in der Right Trash liste von irgendso nehm linken Hurensohn ist ist ein Ehrenmann	Jeder, der in der rechten Müll-Liste ist irgendwie nehmen Sie die linke ist ein ehrlicher Mann	de
Merkel und Konsorten haben durch die SED gut gelernt. Der Abschaum ist und bleibt oben.	Merkel und ihre Kumpane haben von der SED eine Lektion gelernt: die schlechten	de
Ich lass mir mein Land nicht von einer Horde Nafris und Antifaschisten nehmen deswegen bin ich #AFD wähler	Ich werde nicht zulassen, dass mein Land von einer Horde von Faschisten übernommen wird.	de
Wie im alten Rom, Brot und Spiele hält das Volk Dumm!!!	Wie im alten Rom halten Brot und Spiele die Leute in Unwissenheit.	de
"Tusk wird in Polen als derjenige wahrgenommen, der Merkel in den Ar*** kriecht, war sich seiner ""Sache"" sicher u. verlor d. Wahl"	Tusk wird in Polen als derjenige wahrgenommen, der Merkel in Schwierigkeiten bringen wird	de
Ist mir scheissegal was der blöden Puppe angezogen wurde....Hauptsache Kent trägt eine Reichsuniform...!!	Es ist mir egal, was die Puppe trug, solange Kent eine Imperial trägt.	de
Würde das jemand recherchieren...dann käme bestimmt raus das der Flüchtling-Spako nicht einsitzt...!	Wenn jemand nachforscht, wird er herausfinden, dass der Flüchtling Spako nicht	de
Wer die Grünen wählt ist entweder dumm oder ein Hurensohn	Wer immer für die Grünen stimmt, ist ungeeignet.	de
Schickt unsere Verdeidigungsministerin als Stangengirl zur Truppenbetreuung an die Front ,aber selbst dort wird sie Versagen.Eine Verteidigungsministerin ist Ein Hohn an die Truppe.Rommel wache auf!	"Senden Sie unseren Verteidigungsminister als ""Bühnenmädchen"", um die Truppen an der Front zu unterstützen."	de
Das ganze Postengeschacher ist Schmarotzertum !!! Das ganze Pack gehört weg gejagt !!!	Das ganze Postgeschäft ist nicht gut.	de
Für dumm verkaufte und befundene DORFDEPPEN die auch glauben das Heiko Maas ein Demokrat ist !! Land halt,da dauerts!	Für verkauft und gefunden Dorfbewohner, die auch glauben, dass Heiko Maas ein Demokrat ist	de
"Heuchler! Wer hat denn Hartz-IV mit der SPD damals mitgegründet? ...und wie lange haben diese ""Grünen"" Hartz-IV geduldet, obwohl in vieler Hinsicht dieses System unmenschlich ist! So ein Heuchler!"	Wer hat damals Hartz IV mit der SPD gegründet?...und wie lange	de
Ich würde Grüne mit einem Geschwür am Arsch der Welt bezeichnen. Ist aber meine persönliche Meinung. Ein Geschwür kann einen Körper zerstören oder ein ganzes Land.	Ich würde Green als das Geschwür der Welt beschreiben, aber das ist meine persönliche	de
Der DE Schweinejournalimus hat wieder Hochkonjunktur wie gehabt Hetze gegen Trump u dazu diskriminieren der größten DE Oppositionpartei AFD	Die deutsche Schweinzeitung hat wieder hohes Wirtschaftswachstum wie hatte Anstiftung gegen Trump u zu	de
Hier sind schon ein paar richtig dumme Menschen unterwegs..... Gegen wenn oder was habt ihr eigentlich vor der AfD gehetzt und gestänkert?. Ich pubertierende Pickelplantagen...	Es gibt einige Leute auf dem Weg hierher gegen was oder was hast du laufen und tanken	de
Kinderfickende, schächtende #rapefugees! Wer Kinder-, Frauen-, oder Tierrechte verteidigt, darf nicht #gruene #spd oder #cdu wählen! #ltwbw	Vergewaltigungsflüchtlinge sollten nicht für #grün oder #cdu stimmen!	de
Martin Schulz ist nichts, kann nichts und taugt nichts.Ein totaler. Versager, schon in der Schulzeit. Und trockener Alkoholiker.	Martin Schulz ist nichts, nichts und nichts Gutes, ein totaler Versager, sogar	de
Das hättet ihr schon letzte Woche veröffentlichen müssen , aber auf Druck der Internet-Medien seht ihr euch gezwungen heute zu veröffentlichen!Erbärmliche Unterschlagungs-Presse!🤮	Sie hätten das letzte Woche veröffentlichen sollen, aber unter dem Druck der Internet-Medien sind Sie	de
Ich brauche einen Blog, glaube ich, 140 Zeichen sind zu wenig. Get rid of #Islam #Muslims #rapefugees	Ich brauche einen Blog, ich denke, 140 Zeichen sind zu wenig.	de
"#illner Leute, die Parteien wählen, die sie zu ""schon länger hier Lebenden"" herabwürdigen, sind schlicht #verblödet od. #geisteskrank"	Die Kommission hat sich in der Vergangenheit mit der Frage der Verringerung der Arbeitslosigkeit befaßt.	de
Younower zu werden ist der finale schritt um ein Hurensohn zu werden	Du bist jetzt du, und dann bist du böse.	de
An alle Pferde Hunde Katzen Kühe usw....ihr seid voll im Arsch...!	Für alle Pferde, Hunde, Katzen, Kühe, etc... Sie sind alle in	de
Ein krimineller, perverser Dummkopf, der bald endlich schlechte deutsche Geschichte ist!	Eine schlechte deutsche Geschichte	de
#FakeNews: Jetzt die übliche #Hetze der #MSM-Journaille gegen die #FPÖ in der #ZIB2 #orfsg17	#FakeNews: Jetzt die übliche #Hassrede des #MSM-Journal	de
Das ist ein Spinner der Türken hasst	Er mag keine Türken.	de
Ich scheisse auf die GroKo !!!	Die GroKo sind mir egal!	de
Leute regt euch nicht auf....negative Berichte haben eine positive Wirkung....AfD bleibt und wird stärker. Wie sagte die komische Kuh von den Grünen...und ich freu mich darauf....😂😂	Die Menschen werden nicht verärgert, negative Berichte haben einen positiven Effekt. Die AfD bleibt und	de
Der Steinmaier redet nur Scheisse !!!! Gerade auf NTv	Der Steinmaier redet Unsinn!	de
Hast ja Recht. Erdogan und Merkel gehen mir beide mit ihrer Selbstherrlichkeit am Arsch vorbei. Egomanen sind beide	Du hast recht, Erdogan und Merkel sind beide arrogant, beide sind Egoisten	de
wenn der #Bundespräsident mit seinem dummen Geschwätz auf die #SPD zielt sollte er bedenken dass 80% der deutschen die SPD nicht wollen	Wenn der #Bundespräsident mit seinen schlechten Bemerkungen die #SPD ins Visier nimmt, dann	de
finde ich gut würde ich auch, aber nicht wenn man mich nötigen will. Freiwillig ok ,aber ich brauche keine Sesselfurzer die über meine Organe bestimmen	Ich würde gerne, aber nicht, wenn ich gezwungen bin.	de
Scheiß Emanzipation . Ich will reine ,sittliche deutsche Mütter, wie einst vor den 68ern.	Ich will reine, moralische deutsche Mütter, wie wir sie vor dem '68 hatten.	de
Das ist eine Moslem-Schlampe , die es hoffentlich noch bereuen wird .Ich habe kein Mitleid nur Schadenfreude!	Das ist ein Muslim, der hoffentlich bereuen wird.	de
#Diesel-#Fahrverbote: Wie vorhergesagt nimmt ihnen das #Globalisten-#Dreckspack jetzt leistbare #Mobilität &amp; zerstört dt. Schlüsselindustrie	Diesel-Fahrverbote: Wie vorhergesagt, ist der Globalist jetzt	de
Kann bleiben wo sie ist, dumme Nuss🖕	Kann bleiben, wo sie ist	de
Weil der LINKE SCHEIß das alles darf,hetzen,denunzieren,verleumden,kahanen,lügen,betrügen,Menschen attackieren und bald auch schießen.☠️😡☠️	Weil die Linke denkt, dass alles erlaubt ist, zu hetzen, zu verurteilen, zu prahlen, zu lügen	de
Die 42. Volksverarsche fürs dumm Wahl-„Volk“	Der 42. Volksspiel für die Wahl des Volkes	de
@USER_13 @USER_15 @USER_9 @USER_3 @USER_4 @USER_7 @USER_1 @USER_14 @USER_6 @USER_12 @USER_5 @USER_10 @USER_11 Ne, das gibts nicht, ist der Vollpfosten immer noch da???	Die gesamte Post ist noch da.	de
In dem Schwarz Grün regierden Hessen werden jetzt 8 zusätzliche Psychologen nur für die Jugendlichen Invasoren eingestellt. Jetzt AFD wählen	In der schwarz-grünen Hessen werden jetzt acht weitere Psychologen eingestellt.	de
MEIN GOTT ! WAS HAT DIE SED-TRULLA MIT HILFE VON LINKEN U-BOOTEN AUS DEUTSCHLAND GEMACHT !?!? DAS DAS DAS DURFTE !!	Mein Gott, was hat der Sed-Trulla mit Hilfe von links	de
Kurz lasst dich nicht von der Trulla aufs Glatteis führen!	Kurz, lass dich nicht vom Trulla zum Eis führen!	de
stimmt aber hat mit meinem Kommentar nichts zu tun sie zurückgebliebene	Stimmt, aber es hat nichts mit meinem Kommentar zu tun.	de
Asylantenflut bringt eben nur negatives für Deutschland. Drum Asylanenstop und Rückführung der Mehrzahl.	Die Flut von Asylbewerbern ist nur ein Negativ für Deutschland, weshalb wir	de
Kotz deine Propaganda wo anders aus. Hier bist du falsch.	Du kannst deine Propaganda nicht irgendwo anders verbreiten.	de
ekelhaft Claudia Roth wieder im Fernsehen sehen zu müssen #Bundestag	Es ist ekelhaft, Claudia Roth wieder im Fernsehen zu sehen.	de
Sehe mir den Film an da ich ein dickes Fell habe. Aber eines ist Fakt. Wäre der Deutsche Islamisten, mein Kind würde ich ihn eigenhändig erschlagen.	Ich werde den Film sehen, weil ich eine dicke Haut habe, aber eines ist sicher.	de
Wegen Pussys wie dir, gibt es in 🇩🇪keinen ernstzunehmenden Widerstand.	Wegen Leuten wie dir gibt es keinen ernsthaften Widerstand in 🇪.	de
"Merkel: ""Die Bürger haben keine Lust auf Zuständigkeitsdebatten"" ??? Eben ein verlogenes Miststück mit ausreichender Denunziantenerfahrung😜"	"Merkel: ""Die Menschen sind nicht in der Stimmung, darüber zu debattieren, wer"	de
Der dumme Deutsche hat gewählt er läuft freiwillig zur Schlachtbank.. Armes dummes Deutschland.	Der Deutsche hat sich freiwillig zum Schlachthof entschieden.	de
Das meiste geht eh wieder für die Asylanten drauf 🤮	Der Großteil davon geht sowieso an die Asylsuchenden.	de
wie kann man nur derart strunzdumme Moderatoren wie bei #taff auf #ProSieben beschäftigen	Wie kann man solche Moderatoren wie #taff auf #ProSieben einstellen?	de
und was hat der Gabriel damals Versprochen ? Verlogen ist das Pack.Nie wieder SPD	Und was hat Gabriel dann versprochen?	de
Du bist einfach nur noch lächerlich . #Bundestag	Du bist nur lächerlich.	de
Von Gauland wurde verlangt das er sich wegen ˋentsorgen‘ entschuldigen sollte.... Würde das von der Kröte auch verlangt..?	"Gauland wurde gebeten, sich zu entschuldigen, weil er ""verschwunden"" ist."	de
Der Hank geht mir dermaßen auf die Eier.	Hank ist so nervig.	de
Die meisten Deutschen misstrauen Merkel!. Warum schreibt dieses Vasallenpack der deutschen Lügenpresse nicht mal darüber!!!!	Warum schreibt diese deutsche Presse nicht einmal darüber?	de
gibts diese Woche einen Wettbewerb zwischen #maischberger und #lanz, wer die Gast*in mit der hässlichten Fresse hat?	Gibt es diese Woche einen Wettbewerb zwischen #maischberger und #lanz, der	de
Hier haben einige Politiker richtige abgesahnt..... Und der Oberguru Maschmayer macht jetzt einen auf Fernsehstar...und produziert seiner alten b-Movies. 😃😃	Hier sind einige Politiker echt gewesen und der Oberguru Mashmayer ist jetzt ein	de
Nein, MAN USS regulieren, weil dieMieten sonst in dieHöhe steigen. Bauen bedeutet nicht, dass die Mieten sinken. Da werden wir massiv verarscht.	Nein, MAN regelt USS, weil die Miete steigt, Gebäude bedeutet nicht die Miete	de
Wie gehabt bei Illner Grüner + zwei Journalisten ein CDU u die Rot Grün versiffte Gesine Schwan ZDF versucht Grüne hochzupuschen. AFD wählen	Die Grünen + zwei Journalisten, eine CDU und eine CDU	de
Was ist den das fette etwas da ..?	Was ist das für ein Ding?	de
11jahre für das Schwein ist schon ok...alles besser als Bewährung...	11 Jahre für das Schwein ist in Ordnung... alles ist besser als Bewährung	de
Koalitionsverhandlungen um Merkel sind für mich ein widerliches Schauspiel von Schwachmaten > ein Gerangel um Posten für BILDdungsbürger 🤢	Ich denke, die Koalitionsverhandlungen für Merkel sind ein Schauspiel von schwachen Menschen > ein Kampf	de
Was für eine hohle Type....😂😂	Was für ein hohler Typ.	de
Bei diesen Kölner Staatsoberhäupter sind die Kölner verloren...oder verständlicher:...voll im Arsch..!!	Mit diesen Kölner Staatsoberhäuptern sind die Kölner verloren oder verständlicher:	de
Da wird mal wieder stark Übertrieben, es werden paar hundert wenn es hoch kommt teilnehmen!. Natürlich wird die Lügenpresse was anderes sagen	Es wird eine Menge Übertreibung geben, es werden ein paar hundert Leute teilnehmen, wenn es	de
Was für Bullshit. Wenn er mit Wissen und Unterstützung von Merkel gehandelt hat, dann ist das ein Skandal der gesamten Bundesregierung!	Wenn er mit Wissen und Unterstützung von Merkel gehandelt hat, dann ist das ein Problem für	de
Auf zdf info die übliche Trump-Hetze, fehlt heute nur noch die Hetze gegen die DDR u. Russland > Dr. Goebbels lässt wieder grüßen 😜	Auf zdf info die übliche Trump-Agitation, heute nur die Agitation gegen die DDR	de
Gabriel, was bist Du für ein scheinheiliger Außerrandundband-Minister.. Verkaufst Deine Demokratie an das Sultanat. Raus mit Dir.	Gabriel, du verkaufst deine Demokratie an das Sultanat.	de
Sag mal glaubt ihr allen Ernstes die Kacke dieser sogenannten Umfragen, mal ehrlich??	Sagen Sie mir, glauben Sie alle ernsthaft, dass das Ergebnis dieser sogenannten Umfragen,	de
...ihre Statements entsprechen ihrem Aussehen...häßlich..!!	Ihre Aussagen stimmen mit ihrem Aussehen überein.	de
Die Massen von dummen Kommentarem und deutschfeindlichen Äusserungen dieser Grünen Person sind keine Meinungen, sondern trauriges Gelaber!!	Die Massen von schlechten Kommentaren und anti-deutschen Äußerungen dieser Person sind keine Meinungen,	de
Hatte Yücel am Ende doch recht..?...ich bleibe bei meiner Aussage: 80% der deutsche sind verblödete Schwachsinnige... Ihnen ist 🇩🇪egal...!!	Ich halte bei meiner Aussage: 80%.	de
Das Fette Schwein @USER_0 Gabriel Redet wieder auf ,alles vor der Wahl 2017 😂😂😂😂😂	Der Typ redet wieder, alles vor der Wahl 2017.	de
#Straeter ist einfach nur noch Strunz langweilig	Straeter ist nur ein langweiliger Schlampe.	de
Ich habe bis heute nicht verstanden, was an Dunkelhäutigen in schwarzen Burkas mit dunkler “Kultur“ BUNT sein soll... #Islamisierung	Ich habe bis heute nicht verstanden, was es mit dunkelhäutigen Menschen in schwarzen Klamotten auf sich hat.	de
So ein Bullshit..... Du denkst es geht nicht dümmer?....dann kennst die SPDler nicht...😂😂	Glaubst du, du kannst nichts Schlimmeres tun?	de
Unsere Politiker sind zu blöd einen Terroristen auszuweisen weil er keinen Pass hat!!!	Unsere Politiker sind nicht klug, einen Terroristen zu vertreiben, weil er keinen Pass hat.	de
Weit und breit kein Neger.	Ich bin kein schlechter Mensch.	de
